date,symbol,type,shares,price,value,pnl,pnl_pct
2025-02-02,MATIC/USD,BUY,4176,0.332271009683609,1387.5637364387512,,
2025-02-04,BNB/USD,SELL,2,573.3278198242188,1146.6556396484375,-88.545654296875,-0.0716852020240802
2025-02-04,ADA/USD,SELL,1731,0.7463430166244507,1291.9197617769241,-95.89216214418411,-0.0690959347526367
2025-02-04,DOT/USD,SELL,269,4.750216007232666,1277.8081059455872,-107.074378490448,-0.07731658078847883
2025-02-04,MATIC/USD,SELL,4176,0.31341201066970825,1308.8085565567017,-78.75517988204956,-0.05675788276521156
2025-02-04,BNB/USD,BUY,1,573.3278198242188,573.3278198242188,,
2025-02-04,ADA/USD,BUY,772,0.7463430166244507,576.1768088340759,,
2025-02-04,DOT/USD,BUY,121,4.750216007232666,574.7761368751526,,
2025-02-04,MATIC/USD,BUY,1838,0.31341201066970825,576.0512756109238,,
2025-02-05,AVAX/USD,SELL,50,25.872116088867188,1293.6058044433594,-85.21003723144531,-0.06179943300328152
2025-02-06,ADA/USD,SELL,772,0.7050619721412659,544.3078424930573,-31.868966341018677,-0.055311088284700674
2025-02-06,DOT/USD,SELL,121,4.492766857147217,543.6247897148132,-31.151347160339355,-0.05419735643462483
2025-02-06,MATIC/USD,SELL,1838,0.29698801040649414,545.8639631271362,-30.187312483787537,-0.05240386361747532
2025-02-06,XRP/USD,BUY,506,2.3268799781799316,1177.4012689590454,,
2025-02-06,ADA/USD,BUY,1672,0.7050619721412659,1178.8636174201965,,
2025-02-06,AVAX/USD,BUY,48,24.507278442382812,1176.349365234375,,
2025-02-06,DOT/USD,BUY,262,4.492766857147217,1177.1049165725708,,
2025-02-11,BNB/USD,SELL,1,642.5872802734375,642.5872802734375,69.25946044921875,0.12080254621248551
2025-02-11,ADA/USD,SELL,1672,0.7793989777565002,1303.1550908088684,124.29147338867188,0.1054332931748874
2025-02-12,DOT/USD,SELL,262,5.228726863861084,1369.926438331604,192.8215217590332,0.16380997058484836
2025-02-13,XRP/USD,SELL,506,2.5625150203704834,1296.6326003074646,119.23133134841919,0.10126652186627337
2025-02-18,SOL/USD,BUY,8,169.08428955078125,1352.67431640625,,
2025-02-24,AVAX/USD,SELL,48,21.88091278076172,1050.2838134765625,-126.0655517578125,-0.1071667614090949
2025-02-24,SOL/USD,SELL,8,141.98948669433594,1135.9158935546875,-216.7584228515625,-0.16024435462590925
2025-02-24,SOL/USD,BUY,8,141.98948669433594,1135.9158935546875,,
2025-02-24,AVAX/USD,BUY,55,21.88091278076172,1203.4502029418945,,
2025-02-24,DOT/USD,BUY,273,4.413650989532471,1204.9267201423645,,
2025-02-24,MATIC/USD,BUY,4530,0.26631399989128113,1206.4024195075035,,
2025-02-24,LINK/USD,BUY,79,15.247294425964355,1204.536259651184,,
2025-02-26,SOL/USD,SELL,8,134.83132934570312,1078.650634765625,-57.2652587890625,-0.0504132912603758
2025-02-26,SOL/USD,BUY,4,134.83132934570312,539.3253173828125,,
2025-02-27,DOT/USD,SELL,273,4.926065921783447,1344.815996646881,139.8892765045166,0.11609774616666182
2025-02-27,XRP/USD,BUY,328,2.198647975921631,721.1565361022949,,
2025-03-02,AVAX/USD,SELL,55,24.94097328186035,1371.7535305023193,168.3033275604248,0.13985067861470202
2025-03-02,MATIC/USD,SELL,4530,0.303382009267807,1374.3205019831657,167.91808247566223,0.13918911282042387
2025-03-02,LINK/USD,SELL,79,17.41300392150879,1375.6273097991943,171.09105014801025,0.14203893720688465
2025-03-02,SOL/USD,SELL,4,178.49549865722656,713.9819946289062,174.65667724609375,0.3238429044897268
