symbol,order_type,quantity,price,timestamp,commission,pnl
IONQ,BUY,4,33.540000915527344,2025-05-21,0.0,0.0
NVDA,BUY,1,132.81329345703125,2025-05-22,0.0,0.0
IONQ,SELL,262,45.790000915527344,2025-05-22,0.0,4169.190187454224
MSFT,BUY,5,449.441162109375,2025-05-23,0.0,0.0
AMZN,BUY,9,200.99000549316406,2025-05-23,0.0,0.0
NVDA,BUY,12,131.2734832763672,2025-05-23,0.0,0.0
META,BUY,2,626.1552734375,2025-05-23,0.0,0.0
TSLA,BUY,3,339.3399963378906,2025-05-23,0.0,0.0
MSFT,SELL,5,459.93389892578125,2025-05-27,0.0,52.46368408203125
GOOGL,BUY,7,172.53662109375,2025-05-27,0.0,0.0
AMZN,BUY,5,206.02000427246094,2025-05-27,0.0,0.0
NVDA,BUY,6,135.48294067382812,2025-05-27,0.0,0.0
META,BUY,1,641.3932495117188,2025-05-27,0.0,0.0
TSLA,SELL,5,362.8900146484375,2025-05-27,0.0,110.5200805664063
V,BUY,2,357.9598388671875,2025-05-27,0.0,0.0
MSFT,BUY,1,456.609375,2025-05-28,0.0,0.0
GOOGL,BUY,4,171.9977569580078,2025-05-28,0.0,0.0
AMZN,BUY,3,204.72000122070312,2025-05-28,0.0,0.0
NVDA,BUY,3,134.7930450439453,2025-05-28,0.0,0.0
TSLA,BUY,1,356.8999938964844,2025-05-28,0.0,0.0
V,BUY,1,358.3882751464844,2025-05-28,0.0,0.0
GOOGL,BUY,1,171.49880981445312,2025-05-29,0.0,0.0
AMZN,BUY,1,205.6999969482422,2025-05-29,0.0,0.0
NVDA,BUY,1,139.17250061035156,2025-05-29,0.0,0.0
IONQ,BUY,4,43.20000076293945,2025-05-29,0.0,0.0
NVDA,BUY,1,135.11300659179688,2025-05-30,0.0,0.0
IONQ,BUY,3,40.34000015258789,2025-05-30,0.0,0.0
MSFT,SELL,1,461.2118225097656,2025-06-02,0.0,4.602447509765625
NVDA,BUY,1,137.3627166748047,2025-06-02,0.0,0.0
TSLA,SELL,1,342.69000244140625,2025-06-02,0.0,-14.209991455078125
IONQ,BUY,5,40.56999969482422,2025-06-02,0.0,0.0
NVDA,BUY,1,141.2022247314453,2025-06-03,0.0,0.0
IONQ,SELL,12,39.810001373291016,2025-06-03,0.0,-18.94998550415039
GOOGL,SELL,12,167.6968231201172,2025-06-04,0.0,-54.884307861328125
AMZN,BUY,3,207.22999572753906,2025-06-04,0.0,0.0
NVDA,BUY,3,141.9021453857422,2025-06-04,0.0,0.0
META,SELL,3,686.9573974609375,2025-06-04,0.0,167.16839599609386
TSLA,BUY,2,332.04998779296875,2025-06-04,0.0,0.0
V,BUY,1,366.6274108886719,2025-06-04,0.0,0.0
IONQ,BUY,16,39.63999938964844,2025-06-04,0.0,0.0
GOOGL,BUY,3,167.8564910888672,2025-06-05,0.0,0.0
AMZN,BUY,2,207.91000366210938,2025-06-05,0.0,0.0
NVDA,BUY,2,139.97239685058594,2025-06-05,0.0,0.0
TSLA,SELL,2,284.70001220703125,2025-06-05,0.0,-94.699951171875
V,BUY,1,365.4019775390625,2025-06-05,0.0,0.0
GOOGL,BUY,1,173.3149871826172,2025-06-06,0.0,0.0
AMZN,BUY,1,213.57000732421875,2025-06-06,0.0,0.0
NVDA,BUY,1,141.70216369628906,2025-06-06,0.0,0.0
IONQ,BUY,5,39.02000045776367,2025-06-06,0.0,0.0
GOOGL,BUY,1,175.93264770507812,2025-06-09,0.0,0.0
AMZN,SELL,31,216.97999572753906,2025-06-09,0.0,381.999786376953
NVDA,BUY,10,142.612060546875,2025-06-09,0.0,0.0
V,SELL,5,365.2923889160156,2025-06-09,0.0,20.124603271484318
IONQ,BUY,37,40.060001373291016,2025-06-09,0.0,0.0
GOOGL,SELL,5,178.44041442871094,2025-06-10,0.0,39.384963989257784
NVDA,BUY,9,143.94189453125,2025-06-10,0.0,0.0
V,BUY,3,369.3173522949219,2025-06-10,0.0,0.0
IONQ,BUY,23,39.7400016784668,2025-06-10,0.0,0.0
GOOGL,BUY,4,177.1915283203125,2025-06-11,0.0,0.0
AMZN,BUY,2,213.1999969482422,2025-06-11,0.0,0.0
NVDA,SELL,52,142.8219451904297,2025-06-11,0.0,247.7843627929684
META,BUY,2,693.1384887695312,2025-06-11,0.0,0.0
V,BUY,4,371.9176025390625,2025-06-11,0.0,0.0
IONQ,BUY,35,39.70000076293945,2025-06-11,0.0,0.0
GOOGL,BUY,6,175.54299926757812,2025-06-12,0.0,0.0
AMZN,BUY,4,213.24000549316406,2025-06-12,0.0,0.0
META,BUY,1,692.359619140625,2025-06-12,0.0,0.0
V,SELL,7,370.01470947265625,2025-06-12,0.0,-5.519500732421761
GOOGL,BUY,6,174.513916015625,2025-06-13,0.0,0.0
AMZN,BUY,4,212.10000610351562,2025-06-13,0.0,0.0
NVDA,BUY,5,141.9619903564453,2025-06-13,0.0,0.0
META,SELL,3,681.884765625,2025-06-13,0.0,-32.982299804687614
GOOGL,BUY,5,176.61204528808594,2025-06-16,0.0,0.0
AMZN,SELL,10,216.10000610351562,2025-06-16,0.0,33.24002075195324
NVDA,SELL,5,144.6818389892578,2025-06-16,0.0,13.5992431640625
GOOGL,BUY,8,175.7927703857422,2025-06-17,0.0,0.0
GOOGL,SELL,29,173.16513061523438,2025-06-18,0.0,-76.72120666503932
AMZN,BUY,10,209.69000244140625,2025-06-20,0.0,0.0
META,BUY,2,681.8897094726562,2025-06-20,0.0,0.0
AMZN,BUY,7,208.47000122070312,2025-06-23,0.0,0.0
META,SELL,2,698.0588989257812,2025-06-23,0.0,32.33837890625
TSLA,BUY,4,348.67999267578125,2025-06-23,0.0,0.0
IONQ,BUY,28,41.13999938964844,2025-06-23,0.0,0.0
AMZN,BUY,4,212.77000427246094,2025-06-24,0.0,0.0
TSLA,BUY,2,340.4700012207031,2025-06-24,0.0,0.0
IONQ,BUY,16,40.86000061035156,2025-06-24,0.0,0.0
AMZN,BUY,2,211.99000549316406,2025-06-25,0.0,0.0
GOOGL,BUY,2,173.38491821289062,2025-06-26,0.0,0.0
AMZN,SELL,23,217.1199951171875,2025-06-26,0.0,162.50982666015616
IONQ,BUY,32,41.119998931884766,2025-06-26,0.0,0.0
GOOGL,SELL,2,178.37046813964844,2025-06-27,0.0,9.971099853515625
IONQ,BUY,29,40.25,2025-06-27,0.0,0.0
