date,portfolio_value,cash,positions_value,total_return,num_positions,num_trades
2024-12-19,11445.538006782532,5567.940655708313,5877.597351074219,0.14455380067825319,4,110
2024-12-20,11439.832333564758,4803.800488471985,6636.031845092773,0.14398323335647584,4,113
2024-12-23,11579.89056110382,8253.143383979797,3326.7471771240234,0.15798905611038208,2,115
2024-12-24,11591.956067085266,8253.143383979797,3338.8126831054688,0.15919560670852662,2,115
2024-12-26,11584.3438539505,8253.143383979797,3331.200469970703,0.15843438539505006,2,115
2024-12-27,11537.089108467102,8253.143383979797,3283.9457244873047,0.1537089108467102,2,115
2024-12-30,11504.932110786438,9968.710431098938,1536.2216796875,0.1504932110786438,1,116
2024-12-31,11501.279156684875,8223.662854194641,3277.6163024902344,0.15012791566848754,2,117
2025-01-02,11467.546383857727,9922.927487373352,1544.618896484375,0.1467546383857727,1,118
2025-01-03,11475.308468818665,9922.927487373352,1552.3809814453125,0.14753084688186646,1,118
2025-01-06,11441.79845905304,9922.927487373352,1518.8709716796875,0.14417984590530394,1,118
2025-01-07,11458.057126045227,8073.57726764679,3384.4798583984375,0.1458057126045227,2,119
2025-01-08,11464.250973701477,8073.57726764679,3390.6737060546875,0.1464250973701477,2,119
2025-01-10,11504.807187080383,6658.875485420227,4845.931701660156,0.15048071870803834,3,120
2025-01-13,11462.83181476593,5439.85363483429,6022.978179931641,0.14628318147659303,4,121
2025-01-14,11318.25744342804,8611.827023506165,2706.430419921875,0.13182574434280395,2,123
2025-01-15,11350.447628974915,6977.302914619446,4373.144714355469,0.13504476289749145,3,124
2025-01-16,11343.826169013977,8237.353329658508,3106.4728393554688,0.13438261690139772,2,125
2025-01-17,11330.207516670227,9678.047421455383,1652.1600952148438,0.1330207516670227,1,126
2025-01-21,11367.639401435852,6743.367245674133,4624.272155761719,0.1367639401435852,3,128
2025-01-22,11526.963559150696,8518.413632392883,3008.5499267578125,0.15269635591506958,2,129
2025-01-23,11554.602536201477,9788.347226142883,1766.2553100585938,0.1554602536201477,1,130
2025-01-24,11499.414364814758,7992.3126039505005,3507.101760864258,0.14994143648147584,2,131
2025-01-27,11133.723355293274,9413.043133735657,1720.6802215576172,0.11337233552932739,1,132
2025-01-28,11165.03136920929,9413.043133735657,1751.9882354736328,0.11650313692092895,1,132
2025-01-29,11166.018078804016,9413.043133735657,1752.9749450683594,0.11660180788040161,1,132
2025-01-30,11214.998425483704,9413.043133735657,1801.9552917480469,0.12149984254837036,1,132
2025-01-31,11243.256222724915,9206.919613838196,2036.3366088867188,0.12432562227249146,1,134
2025-02-03,11267.206234931946,11267.206234931946,0.0,0.12672062349319457,0,135
2025-02-04,11267.206234931946,9181.439480781555,2085.7667541503906,0.12672062349319457,1,136
2025-02-05,11264.249539375305,5083.878346443176,6180.371192932129,0.1264249539375305,3,139
2025-02-06,11249.729302406311,3741.650959968567,7508.078342437744,0.12497293024063111,4,141
2025-02-07,11069.818600654602,3848.4337663650513,7221.384834289551,0.1069818600654602,4,144
2025-02-10,11115.987607002258,3438.4664812088013,7677.521125793457,0.11159876070022583,4,145
2025-02-11,11117.112809181213,2565.6204118728638,8551.49239730835,0.11171128091812134,4,147
2025-02-12,11198.888569831848,2158.81578540802,9040.072784423828,0.11988885698318481,4,148
2025-02-13,11350.962903022766,1750.5193376541138,9600.443565368652,0.1350962903022766,4,149
2025-02-14,11394.907238960266,5894.78697681427,5500.120262145996,0.13949072389602662,3,151
2025-02-18,11313.997109413147,5079.98424243927,6234.012866973877,0.1313997109413147,3,152
2025-02-19,11374.498875617981,4254.977589607239,7119.521286010742,0.1374498875617981,3,153
2025-02-20,11397.619374275208,3557.7700700759888,7839.849304199219,0.13976193742752074,4,154
2025-02-21,11202.774752616882,2804.3225297927856,8398.452222824097,0.12027747526168824,4,156
2025-02-24,11109.61349773407,2053.7475481033325,9055.865949630737,0.11096134977340698,4,158
2025-02-25,10964.63745212555,4214.142735481262,6750.494716644287,0.09646374521255494,2,160
2025-02-26,10997.39251422882,4214.142735481262,6783.249778747559,0.09973925142288208,2,160
2025-02-27,10754.22768497467,10754.22768497467,0.0,0.07542276849746704,0,162
2025-02-28,10754.22768497467,10754.22768497467,0.0,0.07542276849746704,0,162
2025-03-03,10754.22768497467,10754.22768497467,0.0,0.07542276849746704,0,162
2025-03-04,10754.22768497467,9002.555474281311,1751.6722106933594,0.07542276849746704,1,163
2025-03-05,10756.465233802795,7404.042778968811,3352.4224548339844,0.07564652338027954,2,164
2025-03-06,10697.632103919983,7789.030877113342,2908.6012268066406,0.06976321039199829,2,166
2025-03-07,10708.796166419983,7789.030877113342,2919.7652893066406,0.0708796166419983,2,166
2025-03-10,10587.873742103577,4319.580452919006,6268.29328918457,0.058787374210357665,4,169
2025-03-11,10581.797646522522,5640.104866981506,4941.692779541016,0.0581797646522522,3,170
2025-03-12,10696.838677406311,5640.104866981506,5056.733810424805,0.06968386774063111,3,170
2025-03-13,10638.528069496155,5640.104866981506,4998.423202514648,0.06385280694961548,3,170
2025-03-14,10800.191155433655,5640.104866981506,5160.086288452148,0.08001911554336548,3,170
2025-03-17,10764.441094398499,4865.402962684631,5899.038131713867,0.07644410943984985,3,171
2025-03-18,10654.188820838928,4865.402962684631,5788.785858154297,0.06541888208389282,3,171
2025-03-19,10731.43163394928,4865.402962684631,5866.028671264648,0.07314316339492798,3,171
2025-03-20,10731.810326576233,4156.6229791641235,6575.187347412109,0.0731810326576233,4,172
2025-03-21,10805.143914222717,2009.1352090835571,8796.00870513916,0.08051439142227172,6,176
2025-03-24,11100.41437625885,1298.5774221420288,9801.836954116821,0.11004143762588502,7,179
2025-03-25,11151.962206840515,896.7399244308472,10255.222282409668,0.11519622068405151,7,181
2025-03-26,10889.09802532196,658.9942388534546,10230.103786468506,0.08890980253219605,7,183
2025-03-27,10831.601761817932,540.7442407608032,10290.857521057129,0.08316017618179321,7,184
2025-03-28,10515.862717628479,449.3442392349243,10066.518478393555,0.0515862717628479,7,185
2025-03-31,10401.84559726715,1527.0569696426392,8874.788627624512,0.040184559726715086,6,187
2025-04-01,10594.540957450867,3034.15754032135,7560.383417129517,0.05945409574508667,5,189
2025-04-02,10763.585659980774,2587.9034814834595,8175.682178497314,0.07635856599807739,5,190
2025-04-03,10387.51009464264,7690.356560707092,2697.153533935547,0.038751009464263915,3,192
2025-04-04,10105.651383399963,5591.141350746155,4514.510032653809,0.010565138339996338,3,195
2025-04-07,10212.837197303772,4566.0502252578735,5646.786972045898,0.021283719730377196,3,196
2025-04-08,9999.560393333435,8573.800347328186,1425.760046005249,-4.396066665649414e-05,1,198
